Id,Refinement,ElapsedTime,Timestamp,TimestampRealizabilityCheck,Length,Parent,NumChildren,IsYSat,IsRealizable,IsSatisfiable,IsWellSeparated,IsSolution,TimeYSatCheck,TimeRealizabilityCheck,TimeSatisfiabilityCheck,TimeWellSeparationCheck,TimeCounterstrategy,CounterstrategyNumStates,TimeRefine,TimeGenerationMethod,TimeInterpolation,InterpolantComputed,InterpolantIsFalse,NonStateSeparable,NoInterpolant,NumStateComponents,NumNonIoSeparable,Interpolant
75384f32-1d02-4eda-bada-7fc7464381e1,[],0.19707113099999995,0,0,0,N/A,2,True,False,N/A,N/A,False,0.005889364999999813,0.22120359899999986,N/A,N/A,0.016552101999999902,3,9.79629999999787e-05,0.17028545400000006,0.16268576999999995,True,N/A,N/A,N/A,1,0,(above_audit__Sf1 & budget_exhausted__Sf1 & tool_call__Sf1)
f2df85cb-1869-4d5d-8c78-498ab30718cd,['!(above_audit & budget_exhausted & tool_call)'],0.38960336699999987,0.19679403799999973,0.22521764700000002,1,75384f32-1d02-4eda-bada-7fc7464381e1,1,True,False,N/A,N/A,False,0.021718974000000113,0.005772497000000154,N/A,N/A,0.017370797999999965,5,7.579300000015721e-05,0.14001679300000003,0.13594632699999964,True,N/A,N/A,N/A,1,0,(above_audit__Sf3 & budget_exhausted__Sf3 & tool_call__Sf3)
5c159d5c-28c8-483d-8c96-c4efc41955b0,['G(!(above_audit & budget_exhausted & tool_call))'],0.4197383050000001,0.19681896099999996,0.4079489169999997,1,75384f32-1d02-4eda-bada-7fc7464381e1,0,True,True,True,False,True,0.013900177000000014,0.0039174120000002866,0.005812711000000359,0.005784468999999959,N/A,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,N/A,N/A
