Id,Refinement,ElapsedTime,Timestamp,TimestampRealizabilityCheck,Length,Parent,NumChildren,IsYSat,IsRealizable,IsSatisfiable,IsWellSeparated,IsSolution,TimeYSatCheck,TimeRealizabilityCheck,TimeSatisfiabilityCheck,TimeWellSeparationCheck,TimeCounterstrategy,CounterstrategyNumStates,TimeRefine,TimeGenerationMethod,TimeInterpolation,InterpolantComputed,InterpolantIsFalse,NonStateSeparable,NoInterpolant,NumStateComponents,NumNonIoSeparable,Interpolant
f8f40b88-8b45-4e79-acdc-84f8b4c1b008,[],0.20434563299999997,0,0,0,N/A,2,True,False,N/A,N/A,False,0.008210252999999668,0.26027537099999964,N/A,N/A,0.018057254999999994,3,9.147799999986717e-05,0.1729602779999997,0.16566619999999999,True,N/A,N/A,N/A,1,0,(matches_deny__Sf0 & user_approved__Sf0)
8d52f07f-391d-41a6-b3ab-04b2554c503d,['!(user_approved & matches_deny)'],0.4022807659999996,0.20405551799999966,0.23193302599999965,1,f8f40b88-8b45-4e79-acdc-84f8b4c1b008,1,True,False,N/A,N/A,False,0.02081787100000021,0.006038755000000062,N/A,N/A,0.01581599800000033,5,8.080600000015536e-05,0.14696254700000022,0.14248225999999997,True,N/A,N/A,N/A,1,0,(matches_deny__Sf3 & user_approved__Sf3)
ef0fcb71-0110-4f3d-af2d-5c9a551d69ad,['G(!(user_approved & matches_deny))'],0.4372412969999999,0.2040762009999999,0.42351059199999996,1,f8f40b88-8b45-4e79-acdc-84f8b4c1b008,0,True,True,True,False,True,0.015078036999999878,0.004906951000000159,0.0070720460000002205,0.0064157169999998764,N/A,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,N/A,N/A
