Id,Refinement,ElapsedTime,Timestamp,TimestampRealizabilityCheck,Length,Parent,NumChildren,IsYSat,IsRealizable,IsSatisfiable,IsWellSeparated,IsSolution,TimeYSatCheck,TimeRealizabilityCheck,TimeSatisfiabilityCheck,TimeWellSeparationCheck,TimeCounterstrategy,CounterstrategyNumStates,TimeRefine,TimeGenerationMethod,TimeInterpolation,InterpolantComputed,InterpolantIsFalse,NonStateSeparable,NoInterpolant,NumStateComponents,NumNonIoSeparable,Interpolant
f3db8515-e870-44d5-bccb-f2b32c5e49c8,[],0.1925197609999998,0,0,0,N/A,2,True,False,N/A,N/A,False,0.007344630000000185,0.2368933689999999,N/A,N/A,0.015790931000000175,3,8.34539999998718e-05,0.16557573699999995,0.13729465800000007,True,N/A,N/A,N/A,1,0,(budget_exhausted__Sf0 & monitor_flagged__Sf0 & output_ready__Sf0)
26d076ba-2902-4777-9b53-dc8787306e2c,['!(budget_exhausted & output_ready & monitor_flagged)'],0.40508989900000003,0.19230701399999983,0.22106679799999984,1,f3db8515-e870-44d5-bccb-f2b32c5e49c8,1,True,False,N/A,N/A,False,0.023733551000000297,0.0042221290000004075,N/A,N/A,0.01568099399999978,5,0.00010136699999963028,0.16232520400000006,0.15733357100000012,True,N/A,N/A,N/A,1,0,(budget_exhausted__Sf2 & monitor_flagged__Sf2 & output_ready__Sf2)
cc28adeb-55a0-4154-abc5-2d9ae26c3b02,['G(!(budget_exhausted & output_ready & monitor_flagged))'],0.443366401,0.19232673600000005,0.42799782499999983,1,f3db8515-e870-44d5-bccb-f2b32c5e49c8,0,True,True,True,False,True,0.0173749700000001,0.004625330000000094,0.0064384059999995635,0.008689423999999946,N/A,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,N/A,N/A
